Size;Time [ms];TimeStd;Comparisons;ComparisonsStd;Swaps;SwapsStd;AlwaysSorted;AlwaysStable
0;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
2;0,000000000000;0,000000000000;1,000000000000;0,000000000000;1,000000000000;0,000000000000;true;true
4;0,000000000000;0,000000000000;4,000000000000;0,000000000000;6,000000000000;0,000000000000;true;true
8;0,000000000000;0,000000000000;13,000000000000;0,000000000000;28,000000000000;0,000000000000;true;true
16;0,000000000000;0,000000000000;38,000000000000;0,000000000000;120,000000000000;0,000000000000;true;true
32;0,000000000000;0,000000000000;103,000000000000;0,000000000000;496,000000000000;0,000000000000;true;true
64;0,000000000000;0,000000000000;264,000000000000;0,000000000000;2016,000000000000;0,000000000000;true;true
128;0,000000000000;0,000000000000;649,000000000000;0,000000000000;8128,000000000000;0,000000000000;true;true
256;0,000000000000;0,000000000000;1546,000000000000;0,000000000000;32640,000000000000;0,000000000000;true;true
512;0,650000000000;2,242208732478;3595,000000000000;0,000000000000;130816,000000000000;0,000000000000;true;true
1024;0,400000000000;1,743559577416;8204,000000000000;0,000000000000;523776,000000000000;0,000000000000;true;true
2048;1,100000000000;2,406241883103;18445,000000000000;0,000000000000;2096128,000000000000;0,000000000000;true;true
4096;4,600000000000;4,420407221060;40974,000000000000;0,000000000000;8386560,000000000000;0,000000000000;true;true
8192;17,400000000000;3,800000000000;90127,000000000000;0,000000000000;33550336,000000000000;0,000000000000;true;true
16384;70,300000000000;2,193171219946;196624,000000000000;0,000000000000;134209536,000000000000;0,000000000000;true;true
